status,propertyType,baths,fireplace,city,schools,sqft,zipcode,beds,state,stories,target
4,1129,3.5,1136,1502,86146,2900.0,1017,4.0,21,2.0,418000.0
125,1245,3.0,1535,1512,115154,1947.0,4142,3.0,36,2.0,310000.0
125,1245,2.0,1592,914,211966,3000.0,3356,3.0,3,1.0,2895000.0
125,1245,8.0,1592,385,236277,6457.0,2472,5.0,32,3.0,2395000.0
125,1246,2.5,1535,1221,244681,897.0,465,2.0,29,2.0,209000.0
4,745,2.5,1535,1179,49795,1507.0,1573,3.0,7,2.0,181500.0
4,1129,2.0,1535,954,25299,3588.0,2176,3.0,10,2.0,244900.0
124,1128,3.0,1535,726,96751,1930.0,2704,3.0,32,2.0,311995.0
125,1241,2.0,1535,538,46162,1300.0,211,3.0,24,2.0,669000.0
4,707,2.5,1535,726,147967,3130.0,2692,3.0,32,2.0,260000.0
125,1245,3.0,1535,1208,216978,2839.0,1297,4.0,7,1.0,525000.0
124,1128,3.0,1535,726,109471,2454.0,2708,4.0,32,2.0,168800.0
4,1228,2.5,1535,548,90475,2203.0,1384,3.0,7,2.0,335000.0
4,1175,2.5,1535,1088,28627,3325.0,90,3.0,24,2.0,2650000.0
125,1245,4.0,1592,1621,198159,3080.0,2737,4.0,32,2.0,365000.0
125,1244,4.0,1535,548,75657,1612.0,1379,4.0,7,1.0,626000.0
66,1128,2.0,1535,1188,73062,1731.0,3668,4.0,3,2.0,375000.0
4,1007,2.5,1535,991,175837,1080.0,1330,3.0,7,2.0,579000.0
125,1245,4.0,1592,1513,235275,3645.0,2743,4.0,32,2.0,499007.0
125,1245,2.0,1592,808,74492,1953.0,2608,4.0,32,1.0,182000.0
125,1245,7.0,1592,1693,16050,5796.0,487,8.0,5,3.0,3749000.0
125,1245,3.0,1535,726,174370,2575.0,2643,3.0,32,2.0,499900.0
125,1245,3.0,1535,392,218861,2349.0,1399,4.0,7,1.0,559000.0
125,1241,2.0,1535,193,175030,935.0,207,2.0,24,4.0,830000.0
4,956,2.0,1535,914,116804,1736.0,3324,4.0,3,2.0,1195000.0
125,1245,2.0,1535,1273,190280,1176.0,1578,3.0,7,2.0,204800.0
124,399,2.0,1535,1116,19876,1085.0,1347,2.0,7,0.0,179000.0
125,1245,2.0,1535,765,36079,864.0,1165,3.0,7,2.0,105000.0
125,1240,2.5,1535,278,189178,900.0,984,2.0,21,2.0,260000.0
66,1128,3.0,1591,566,71000,1448.0,3678,3.0,3,0.0,284900.0
66,1128,2.0,1535,990,18675,1396.0,1324,3.0,7,0.0,495000.0
125,1240,3.0,1535,385,138954,1720.0,2480,2.0,32,2.0,385000.0
125,1245,3.0,1535,1726,22842,2388.0,1402,3.0,7,2.0,620000.0
125,1240,2.0,1592,865,10209,1081.0,3253,2.0,23,2.0,125000.0
79,1129,2.0,1535,1582,80273,1101.0,3447,3.0,3,2.0,499000.0
4,863,2.5,1535,606,207894,0.0,3207,3.0,1,2.0,275000.0
125,1240,2.0,1535,112,143388,1200.0,214,3.0,24,1.0,598000.0
124,399,4.0,1535,990,15060,1873.0,1328,3.0,7,2.0,1780000.0
125,1245,2.1,1592,1256,216792,1908.0,3924,3.0,27,2.0,490000.0
125,1245,2.0,1592,658,57564,1632.0,1081,4.0,9,2.0,175000.0
77,1129,3.5,98,1772,151178,4339.0,3967,4.0,36,2.0,2785000.0
16,469,2.0,1535,1502,240738,0.0,1017,2.0,21,1.0,166500.0
125,1246,2.5,1535,437,69397,1681.0,943,3.0,21,2.0,259658.0
125,1245,4.0,1592,684,188786,3756.0,1560,4.0,7,2.0,799000.0
125,1245,2.0,1535,1603,38795,1504.0,1444,3.0,7,1.0,244990.0
124,1128,2.0,1535,1237,74092,2088.0,1390,3.0,7,1.0,333543.0
125,1242,2.5,1535,70,215512,1076.0,1071,3.0,9,2.0,369900.0
124,1128,3.0,1535,1403,22510,2688.0,2874,3.0,32,1.0,409069.0
4,1129,1.0,1535,726,222806,1308.0,2642,2.0,32,1.0,149999.0
125,1245,2.0,1535,726,63380,1612.0,2679,3.0,32,2.0,220000.0
125,1240,3.0,1535,291,113940,2200.0,2277,3.0,11,9.0,749000.0
125,1245,2.0,1592,865,243064,1244.0,3262,3.0,23,1.0,255000.0
4,1129,2.0,1535,854,82088,2272.0,3232,2.0,22,1.0,269000.0
125,1245,2.5,1535,1444,160615,770.0,4006,2.0,36,1.0,475000.0
4,0,2.5,1535,1180,89917,1160.0,1501,3.0,7,2.0,219900.0
125,1245,4.0,1592,1389,21570,3928.0,1187,4.0,7,1.0,1785000.0
4,1129,4.5,1535,819,55467,5131.0,1569,5.0,7,2.0,414900.0
125,1245,6.0,1592,385,73569,4520.0,2476,4.0,32,2.0,1795000.0
125,1240,3.0,1535,548,192260,1250.0,1389,2.0,7,2.0,339000.0
125,1240,2.0,1535,162,244681,1060.0,587,2.0,14,2.0,916900.0
4,1228,2.5,1535,991,11399,538.0,1331,3.0,7,2.0,650000.0
73,1128,3.0,6,437,131075,2375.0,943,4.0,21,0.0,399000.0
66,1128,2.0,1591,1511,142186,1993.0,4135,3.0,36,1.0,289000.0
125,1245,3.0,1535,1513,237199,2265.0,2743,4.0,32,1.0,299999.0
125,1245,3.0,1592,1403,22873,2831.0,2872,4.0,32,1.0,439000.0
125,1245,3.0,1592,1403,143962,2991.0,2865,4.0,32,2.0,304900.0
125,1240,2.0,1535,385,131914,818.0,2494,2.0,32,1.0,160000.0
125,1245,2.0,1535,1252,212442,2268.0,1579,4.0,7,1.0,259900.0
125,1240,3.0,1535,1193,139874,1916.0,1208,3.0,7,2.0,715000.0
125,1241,2.0,1535,804,74798,107250.0,239,2.0,24,2.0,319000.0
4,1129,2.0,1535,1250,120091,1702.0,1502,3.0,7,2.0,235900.0
66,1128,3.0,1535,151,112565,1595.0,2336,3.0,11,2.0,189900.0
4,1228,2.5,1535,1133,56720,667.0,1245,3.0,7,2.0,138500.0
79,1129,2.0,1535,1187,120814,1587.0,1156,3.0,7,2.0,229000.0
0,1128,2.0,1591,218,92370,1790.0,4028,4.0,36,1.0,493999.0
4,683,2.5,1535,990,222495,3685.0,1360,3.0,7,2.0,800000.0
125,1240,2.0,1535,868,61651,960.0,1386,2.0,7,2.0,74900.0
124,1128,4.0,1535,765,162898,2492.0,1169,4.0,7,2.0,285990.0
125,1245,2.0,1535,1187,134037,1553.0,1156,3.0,7,1.0,187500.0
124,399,2.0,1535,990,14962,719.0,1322,1.0,7,2.0,259900.0
